table,name,function,definition
fub_event_record_imported,fub_event_record_imported_immutable,reject_mutation,CREATE TRIGGER fub_event_record_imported_immutable BEFORE DELETE OR UPDATE ON public.fub_event_record_imported FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_event_record_imported,history_import_count,crm_history_import_fact_count,CREATE TRIGGER history_import_count AFTER INSERT ON public.fub_event_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_count()
fub_event_record_imported,history_import_guard,crm_history_import_fact_guard,CREATE TRIGGER history_import_guard BEFORE INSERT ON public.fub_event_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_guard()
fub_text_record_corrected,family_refresh_measure,crm_family_refresh_measure,CREATE TRIGGER family_refresh_measure AFTER INSERT OR DELETE OR UPDATE ON public.fub_text_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_refresh_measure()
fub_text_record_corrected,history_correction_immutable,reject_mutation,CREATE TRIGGER history_correction_immutable BEFORE DELETE OR UPDATE ON public.fub_text_record_corrected FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_text_record_corrected,history_correction_no_truncate,reject_mutation,CREATE TRIGGER history_correction_no_truncate BEFORE TRUNCATE ON public.fub_text_record_corrected FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
fub_text_record_corrected,history_version_apply,crm_family_history_version_apply,CREATE TRIGGER history_version_apply AFTER INSERT ON public.fub_text_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_apply()
fub_text_record_corrected,history_version_guard,crm_family_history_version_guard,CREATE TRIGGER history_version_guard BEFORE INSERT ON public.fub_text_record_corrected FOR EACH ROW EXECUTE FUNCTION crm_family_history_version_guard()
fub_text_record_imported,admitted_history_write_fence,crm_admitted_history_write_fence,CREATE TRIGGER admitted_history_write_fence BEFORE INSERT OR DELETE OR UPDATE ON public.fub_text_record_imported FOR EACH ROW EXECUTE FUNCTION crm_admitted_history_write_fence()
fub_text_record_imported,fub_text_record_imported_immutable,reject_mutation,CREATE TRIGGER fub_text_record_imported_immutable BEFORE DELETE OR UPDATE ON public.fub_text_record_imported FOR EACH ROW EXECUTE FUNCTION reject_mutation()
fub_text_record_imported,history_import_count,crm_history_import_fact_count,CREATE TRIGGER history_import_count AFTER INSERT ON public.fub_text_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_count()
fub_text_record_imported,history_import_guard,crm_history_import_fact_guard,CREATE TRIGGER history_import_guard BEFORE INSERT ON public.fub_text_record_imported FOR EACH ROW EXECUTE FUNCTION crm_history_import_fact_guard()
inquiry,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.inquiry FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
inquiry,inquiry_append_only,reject_direct_mutation,CREATE TRIGGER inquiry_append_only BEFORE DELETE OR UPDATE ON public.inquiry FOR EACH ROW EXECUTE FUNCTION reject_direct_mutation()
inquiry,inquiry_no_truncate,reject_mutation,CREATE TRIGGER inquiry_no_truncate BEFORE TRUNCATE ON public.inquiry FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
inquiry,inquiry_touch_person,person_touch_last_inquiry,CREATE TRIGGER inquiry_touch_person AFTER INSERT ON public.inquiry FOR EACH ROW EXECUTE FUNCTION person_touch_last_inquiry()
inquiry,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.inquiry FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
inquiry_received,history_review_rows,crm_history_review_rows,CREATE TRIGGER history_review_rows AFTER INSERT OR DELETE OR UPDATE ON public.inquiry_received FOR EACH ROW EXECUTE FUNCTION crm_history_review_rows()
inquiry_received,inquiry_received_append_only,reject_mutation,CREATE TRIGGER inquiry_received_append_only BEFORE DELETE OR UPDATE ON public.inquiry_received FOR EACH ROW EXECUTE FUNCTION reject_mutation()
inquiry_received,inquiry_received_no_truncate,reject_mutation,CREATE TRIGGER inquiry_received_no_truncate BEFORE TRUNCATE ON public.inquiry_received FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
inquiry_received,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.inquiry_received FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
intake_extraction,intake_extraction_append_only,reject_mutation,CREATE TRIGGER intake_extraction_append_only BEFORE DELETE OR UPDATE ON public.intake_extraction FOR EACH ROW EXECUTE FUNCTION reject_mutation()
intake_extraction,intake_extraction_no_truncate,reject_mutation,CREATE TRIGGER intake_extraction_no_truncate BEFORE TRUNCATE ON public.intake_extraction FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
intake_extraction,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.intake_extraction FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
intake_rotation,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.intake_rotation FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
intake_token_rotated,intake_token_rotated_append_only,reject_mutation,CREATE TRIGGER intake_token_rotated_append_only BEFORE DELETE OR UPDATE ON public.intake_token_rotated FOR EACH ROW EXECUTE FUNCTION reject_mutation()
intake_token_rotated,intake_token_rotated_no_truncate,reject_mutation,CREATE TRIGGER intake_token_rotated_no_truncate BEFORE TRUNCATE ON public.intake_token_rotated FOR EACH STATEMENT EXECUTE FUNCTION reject_mutation()
intake_token_rotated,workspace_write_guard,crm_workspace_mutation_guard,CREATE TRIGGER workspace_write_guard BEFORE INSERT OR DELETE OR UPDATE ON public.intake_token_rotated FOR EACH ROW EXECUTE FUNCTION crm_workspace_mutation_guard()
invitation_issued,invitation_issued_append_only,reject_mutation,CREATE TRIGGER invitation_issued_append_only BEFORE DELETE OR UPDATE ON public.invitation_issued FOR EACH ROW EXECUTE FUNCTION reject_mutation()
